Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Localización,Fecha UTC,Hora UTC
6/18/2017,21:03:41,3.7,31.44,-114.25,16,"69 km al oetse de puerto penasco, son",6/18/2017,10:55:26
6/18/2017,20:55:26,3.6,14.78,-92.1,102,"12 km al noreste de cd hidalgo, chis",6/18/2017,08:55:26
6/18/2017,19:55:20,4.1,18.38,-101.82,72,"57km al noreste de las guacamayas, mich",6/18/2017,07:55:20
6/18/2017,19:13:04,3.7,17.44,-94.6,139,"59km al sur de jaltiplan de morelos, ver ",6/18/2017,07:13:04
6/18/2017,18:40:34,3.7,14.74,-92.07,105,"11km al noreste de cd hidalgo, chis",6/18/2017,06:40:34
6/18/2017,17:30:45,3.4,32.57,-115.45,3,"10km al sur de mexicali,bc ",6/18/2017,05:30:45
6/18/2017,15:13:29,4,14.66,-92.1,94,"6 km al SUROESTE de CD HIDALGO, CHIS",6/18/2017,03:13:29
6/18/2017,13:32:32,3.6,15.17,-97.33,17,"81 km al suroeste de puerto escondido,oax ",6/18/2017,01:32:32
6/18/2017,12:31:42,3.5,14.66,-92.11,100,"5km al sureste de cd hidalgo, chis ",06/10/2017,12:31:42
6/18/2017,11:42:24,3.7,14.65,-91.88,87,"30km al este de cd hidalgo, chis",6/18/2017,11:42:24
6/18/2017,10:44:36,3.7,14.67,-92.07,96,"8km al ESTE DE CD HIDALGO,CHIS",6/18/2017,10:44:36
6/18/2017,07:04:40,3.8,17.59,-95.38,103,"44km al sur de j rodriguez clara, ver ",6/18/2017,07:04:40
6/18/2017,06:59:02,3.6,15.2,-97.48,57,86km al suroeste de puerto escondido ,6/18/2017,06:59:02
6/18/2017,05:53:38,3.8,18.12,-103.34,10,"75km al sur de coelcoman, mich ",6/18/2017,05:53:38
6/18/2017,04:55:47,3.9,17.52,-94.47,170,"52km al sur de minatitlan, ver ",6/18/2017,04:55:47
6/18/2017,04:30:57,4.4,13.85,-93.2,15,"145km al SUROESTE de CD HIDALGO, CHIS",6/18/2017,04:30:57
6/18/2017,03:42:19,4.4,13.95,-93.34,25,"152km al suroeste de cd hidalgo, chis",6/18/2017,03:42:19
6/18/2017,02:50:02,3.7,17.14,-100.99,19,"40km al oeste de tecpan, gro",6/18/2017,02:50:02
6/18/2017,02:03:09,3.7,14.48,-92.22,78,"23km al suroeste de cd hidalgo,chis",6/18/2017,02:03:09
6/18/2017,01:55:40,3.3,17.43,-95.48,105,"63km al sur de j rodriguez clara, ver ",6/18/2017,01:55:40
6/18/2017,00:18:35,3.9,15.56,-98.74,16,114km al suroeste de pinotepa nacional,6/18/2017,00:18:35
6/17/2017,23:22:58,3.4,16.56,-98.49,6,"16km al suroeste de ometepec, gro",6/17/2017,23:22:58
6/17/2017,22:28:50,4,14.24,-93.32,25,"136km al suroeste de cd hidalgo, chis",6/17/2017,22:28:50
6/17/2017,20:45:45,3.8,14.71,-92.38,106,"15km al este de cd hidalgo, chis ",6/17/2017,08:45:45
6/17/2017,21:14:13,3.2,16.65,-98.24,11,"18km al este de ometepec,gro",6/17/2017,09:14:13
6/17/2017,20:45:45,3.8,14.71,-92.01,106,"15km al este de cd hidalgo, chis ",6/17/2017,08:45:45
